product_id,bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi,bluetoorh
0,,ngẫu nhiên,Apple A13 Bionic,,,https://didongthongminh.vn/iphone-11-64gb-2019,iPhone 11 64GB,,,,15650000,4GB,12 MP,,64GB,6.1 inch,"IPS LCD , es",,,mới,,,,
1,,ngẫu nhiên,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-max-128gb-chinh-hang,iPhone 12 Pro Max 128GB,,,,28950000,6GB,,,128GB,6.7 inch,Super Retina XDR OLED ,,,mới,,,,
2,,ngẫu nhiên,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-64gb-hang-chinh-hang-vna,iPhone 12 64GB,,,,19750000,4GB,,,64GB,,Full HD+,,,mới,,,,
3,,ngẫu nhiên,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-128gb-chinh-hang,iPhone 12 Pro 128GB,,,,26490000,6GB,,,128GB,6.1 inch,Super Retina XDR OLED ,,,mới,,,,
4,,ngẫu nhiên,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-max-256gb-chinh-hang-vn-a,iPhone 12 Pro Max 256GB,,,,31690000,6GB,,,256GB,6.7 inch,Super Retina XDR OLED ,,,mới,,,,
5,,ngẫu nhiên,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xr-64gb-moi-chinh-hang,iPhone XR 64Gb,,,,11650000,3GB,12 MP,,64GB,6.1 inch,"IPS LCD , es",,,mới,,,,
6,,ngẫu nhiên,Apple A13 Bionic,,,https://didongthongminh.vn/iphone-11-128gb-chinh-hang-vn-a,iPhone 11 128GB,,,,17390000,4GB,12 MP,,128GB,6.1 inch,"IPS LCD , es",,,mới,,,,
7,,ngẫu nhiên,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-mini-64gb-chinh-hang,iPhone 12 Mini 64GB,,,,15890000,4GB,,,64GB,5.4 inch,"IPS LCD, ",,,mới,,,,
8,,ngẫu nhiên,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-256gb-chinh-hang-vn-a,iPhone 12 Pro 256GB,,,,28290000,6GB,,,256GB,6.1 inch,Super Retina XDR OLED ,,,mới,,,,
9,,ngẫu nhiên,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-128gb-chinh-hang-vn-a,iPhone 12 128GB,,,,21350000,4GB,,,128GB,6.1 inch,Super Retina XDR OLED ,,,mới,,,,
10,,ngẫu nhiên,Apple A13 Bionic,,,https://didongthongminh.vn/iphone-11-pro-max-cu-64gb,iPhone 11 Pro Max cũ 64Gb,,,,20590000,4GB,,,64GB,6.5 inch, OLED,,,cũ,,,,
11,,ngẫu nhiên,Apple A13 Bionic,,,https://didongthongminh.vn/iphone-11-cu-64gb,iPhone 11 64GB,,,,13490000,4GB,12 MP,,64GB,6.1 inch,"IPS LCD , es",,,cũ,,,,
12,,ngẫu nhiên,Apple A13 Bionic,,,https://didongthongminh.vn/iphone-11-pro-64gb-moi-tran-tbh-chua-active-eu,iPhone 11 Pro 64Gb,,,,17590000,4GB,,,64GB,5.8 inch, OLED,,,mới,,,,
13,,ngẫu nhiên,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-max-64gb-cu-nguyen-ban,iPhone Xs Max Cũ 64GB,,,,11990000,4GB,12 MP,,64GB,"6.5""", Super Retina HD,,,cũ,,,,
14,,ngẫu nhiên,Apple A10 Fusion,,,https://didongthongminh.vn/iphone-7-plus-32gb-cu-nguyen-ban,iPhone 7 Plus Cũ 32Gb,,,,5790000,3GB,12 MP,,32GB,"5.5""","IPS LCD, , Full HD",,,cũ,,,,
15,,ngẫu nhiên,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-64gb-cu-dep-nhu-moi,iPhone XS Cũ 64Gb,,,,9690000,4GB,12 MP,,64GB,"5.8""", Super Retina HD,,,cũ,,,,
16,,ngẫu nhiên,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-64gb-cu,iPhone 8 Cũ 64Gb,,,,4590000,2GB,12 MP,,64GB,"4.7""","IPS LCD, , qHD",,,cũ,,,,
17,,ngẫu nhiên,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-plus-cu-p2372,iPhone 8 Plus Cũ 64Gb,,,,6990000,3GB,12 MP,,64GB,"5.5""","IPS LCD, , Retina HD",,,cũ,,,,
18,,ngẫu nhiên,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-cu-32gb-nguyen-ban,iPhone 7 32Gb,,,,3390000,2GB,12 MP,,32GB,"4.7""","IPS LCD, , HD",,,cũ,,,,
19,,ngẫu nhiên,,,,https://didongthongminh.vn/iphone-13,iPhone 13,,,,0,6GB,,,128GB,,Đang cập nhật,,,mới,,,,
